"length","package.overview","object.construction","introduction.to.subject","method.implementation","addressing.an.issue","error.identification"
15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
45,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
125,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
57,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
18,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
43,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
34,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
14,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
36,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
91,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
120,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
34,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
34,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
94,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
21,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
46,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
42,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
115,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
170,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
19,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
