"reproducibility","names","api","results","api.and.results","github.stars","github.subscribers","github.contributors","github.adds","github.dels","github.commits","github.issues","github.open_issues","CI","versions"
0,-4,-1,1,0,16,4,1,4584,2814,37,5,1,1,2
2,0,7,0,7,0,2,0,0,0,0,4,1,0,12
0,0,0,0,0,17,7,2,2895,1400,113,30,3,1,6
0,0,0,0,0,0,1,1,64,21,4,0,0,0,0
0,5,0,0,0,23,3,6,61104,57711,178,30,1,0,10
0,0,0,0,0,2,1,1,1593,104,21,3,1,0,1
0,0,0,0,0,1,2,1,1540,1972,21,0,0,0,0
0,0,0,0,0,6,1,1,21213,5020,17,4,3,0,18
2,0,0,2,2,28,2,3,11161,8800,101,16,7,0,5
1,3,0,0,0,6,2,2,4459,2347,29,9,2,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
0,0,0,0,0,22,7,2,4637,4073,66,30,3,1,3
0,0,0,0,0,1,1,1,7290,4273,34,0,0,0,32
0,0,0,0,0,9,2,1,13572,6389,22,0,0,1,1
0,0,0,0,0,27,11,3,12355,10624,186,80,284,1,7
0,0,0,0,0,212,13,6,12192,7369,306,84,15,1,19
0,0,0,0,0,0,3,3,32217,30126,119,7,1,0,3
0,1,9,-11,-2,590,49,13,19336,14750,310,97,206,1,5
