Dataset;Insert mean;Mice_pmm;VIM_knn;VIM_hotdeck;softImpute
ipums_la_99-small;0,285714286;0,317073171;0,290697674;0,24;0,285714286
adult;0,89739403;0,898241042;0,898669797;0,898456328;0,89739403
eucalyptus;0,9;0,905027933;0,893854749;0,893854749;0,906077348
dresses-sales;NA;NA;NA;NA;NA
colic;0,571428571;0,457142857;0,634146341;0,634146341;0,611111111
credit-approval;0,874074074;NA;0,874074074;0,872180451;0,859259259
sick;0,976939203;0,977003484;0,978336827;0,97632312;0,976906928
labor;1;NA;0,8;1;0,857142857
SpeedDating;0,994992847;0,995352163;0,994992847;0,99391771;0,994992847
stem-okcupid;NA;NA;NA;NA;NA
hepatitis;0,6;0,6;0,545454545;0,545454545;0,6
vote;0,964912281;0,964912281;0,964912281;0,964912281;0,964912281
cylinder-bands;0,647887324;NA;0,676470588;0,637681159;0,637681159
echoMonths;0,864864865;NA;0,864864865;0,864864865;0,864864865
