Dataset;Insert mean;Mice_pmm;VIM_knn;VIM_hotdeck;softImpute
ipums_la_99-small;0,124716553;0,125930166;0,126364159;0,123873874;0,124716553
adult;0,886622751;0,887071207;0,887224726;0,887184688;0,886622751
eucalyptus;0,863387978;0,87431694;0,886486486;0,87431694;0,868131868
dresses-sales;0,672;0,666666667;0,698412698;0,64516129;0,704
colic;0,518518519;0,465116279;0,528301887;0,565217391;0,528301887
credit-approval;0,787096774;0,787096774;0,787096774;0,787096774;0,787096774
sick;0,947521866;0,945215486;0,947521866;0,945215486;0,943065693
labor;0,666666667;0,8;0,428571429;1;1
SpeedDating;0,886345699;0,885025682;0,886874261;0,887573964;0,886345699
stem-okcupid;0,844271413;0,857510671;0,843214943;0,857085048;0,844330112
hepatitis;0,6;0,6;0,6;0,545454545;0,6
vote;0,915254237;0,915254237;0,923076923;0,915254237;0,915254237
cylinder-bands;0,564705882;0,384615385;0,571428571;0,542857143;0,551724138
echoMonths;0,864864865;0,823529412;0,8;0,787878788;0,833333333
