Dataset;Insert mean;Mice_pmm;VIM_knn;VIM_hotdeck;softImpute
ipums_la_99-small;0,184615385;0,15625;0,141732283;0,15503876;0,15625
adult;0,914816997;0,915805988;0,915746127;0,915681536;0,915209847
eucalyptus;0,908108108;0,908108108;0,918032787;0,908108108;0,902173913
dresses-sales;0,757575758;0,715447154;0,723076923;0,723076923;0,763358779
colic;0,666666667;0,6875;0,764705882;0,666666667;0,611111111
credit-approval;0,881118881;NA;0,881118881;0,887323944;0,881118881
sick;0,985974755;0,985283812;0,986666667;0,985283812;0,985974755
labor;0,857142857;NA;0,857142857;0,857142857;0,857142857
SpeedDating;0,995732575;0,995378599;0,996441281;0,995378599;0,995732575
stem-okcupid;0,884918881;0,885217391;0,889460816;0,884813185;0,883368102
hepatitis;0,666666667;0,666666667;0,75;0,5;0,444444444
vote;0,974358974;0,982758621;0,973913043;0,965517241;0,974358974
cylinder-bands;0,776119403;NA;0,794117647;0,8;0,764705882
echoMonths;0,8125;NA;0,75;0,8125;0,787878788
